| default                  | -1      |
| astra-prod@list.acme.com  | 86665   |
| bruce.clark@acme.com           | 102085  |
| bruce.smith@acme.com           | 102487  |
| daniel.cook@acme.com           | 113023  |
| ethan.smith@acme.com     | 87123   |
| madison.smith@sstech.us           | 94364   |
| noah.wayne@acme.com           | 119263  |
| ray.smith@acme.com           | 92042   |
| mason.wayne@acme.com           | 117450  |
| flash.knight@acme.com           | 113042  |
| system                   | 0       |

| AWSServiceRoleForApplicationAutoScaling_DynamoDBTable            | 1731  |
| AstraSandBoxCrossAccount                                         | 1732  |
| astra-aws-dome9-EventParserRole-58E992186FE9                     | 1733  |
| astra-aws-dome9-accounts-AccountManagerRole-4D27F73AA8D7         | 1734  |
| astra-aws-dome9-compliance-AlertForwarderRole-4F018C4F9B7D       | 1735  |
| astra-aws-dome9-compliance-AlertsFilterRole-4606E4313F3C        | 1736  |
| astra-aws-dome9-compliance-CloudSupervisorRole-DD16255FD68B      | 1737  |
| astra-aws-dome9-compliance-InventoryCollectorRole-FB1C02BD3B92   | 1738  |
| astra-aws-dome9-compliance-RemediatorRole-89E997857FDF           | 1739  |
| astra-aws-dome9-compliance-SchedulerRole-02F57419DBEE            | 1740  |
| astra-aws-dome9-es-indexer-AstraD9ESIndexerRole-A5817F6D0474     | 1741  |
| astra-aws-dome9-ses-notif-AstraAccountNotifierRole-04472EADAD5F  | 1742  |
| astra-aws-ecomp-workload-AstraAWSEcompWorkloadIns-9CEF8CFB96F7   | 1743  |
| astra-aws-es-optimizer-AstraAWSESOptimizerRole-95499A613483      | 1744  |
| astra-aws-inspector-summa-AstraAWSInspectorSummary-97638A505895  | 1745  |
| astra-aws-lumberjack-LogRole-912C7DFD4F8F                        | 1746  |
| astra-aws-lumberjack-S3deliveryRole-FAFB29516087                 | 1747  |
| astra-aws-lumberjack-firehoseLambdaRole-71AC141D843D             | 1748  |
| astra-aws-lumberjack-stormLambdaRole-7DE66878D95C                | 1749  |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8AA429C537D3 | 1750  |
| astra-aws-report-schedule-AstraAWSReportSchedulerR-8CA4B0DF43E4 | 1751  |
| astra-aws-workload-inspec-AstraAWSWorkloadInspecto-4175056BF587 | 1752  |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945 | 1753  |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93 | 1754  |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239 | 1755  |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4BA80B76D646 | 1756  |
| astra-es-remodeller-AstraESRemodellerRole-A970D41312B4           | 1757  |
| astra-prod@list.acme.com                                          | 1758  |

| test1-us-east-2 | 1759  |
| test2-us-east-2 | 1760  |
| test3-us-east-2 | 1761  |
| test1-us-west-1 | 1762  |
| test2-us-west-1 | 1763  |
| test3-us-west-1 | 1764  |
| test1-eu-west-2 | 1765  |
| test2-eu-west-2 | 1766  |
| test3-eu-west-2 | 1767  |
