| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945  | arn:aws:sts::256387704049:assumed-role/astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-2863D52E9945/astra-aws-workload-svm-re-GetCloudPassageSVMsummar-ENHHAXNNK9WG   |
| astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93  | arn:aws:sts::256387704049:assumed-role/astra-aws-workload-svm-re-AstraLambdaGetSvmSummari-3A3661B45B93/astra-aws-workload-svm-re-GetCloudPassageSVMsummar-5TPTKJZB2DWV   |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239  | arn:aws:sts::256387704049:assumed-role/astra-aws-workload-svm-report-AstraLambdaSvmWorker-4CF3CF66F239/astra-aws-workload-svm-repor-CloudPassageSVMworker-1QHPAYMYQSZPO  |
| astra-aws-workload-svm-report-AstraLambdaSvmWorker-4BA80B76D646  | arn:aws:sts::256387704049:assumed-role/astra-aws-workload-svm-report-AstraLambdaSvmWorker-4BA80B76D646/astra-aws-workload-svm-repor-CloudPassageSVMworker-11GMC1Y0QVIT5  |
| astra-es-remodeller-AstraESRemodellerRole-A970D41312B4            | arn:aws:sts::256387704049:assumed-role/astra-es-remodeller-AstraESRemodellerRole-A970D41312B4/astra-es-remodeller-AstraESRemodeller-JN15DRMWGDNQ                          |

| astra-prod@list.acme.com  | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-ComplianceAlertsTopic  |
| bruce.clark@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| bruce.smith@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| daniel.cook@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| ethan.smith@acme.com     | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic            |
| madison.smith@sstech.us           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| noah.wayne@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| ray.smith@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| mason.wayne@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| flash.knight@acme.com           | arn:aws:sns:us-east-1:483412017409:astra-aws-dome9-EventsTopic            |
| system                   | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic            |
| test1-us-east-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test2-us-east-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test3-us-east-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test1-us-west-1          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test2-us-west-1          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test3-us-west-1          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test1-eu-west-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test2-eu-west-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
| test3-eu-west-2          | arn:aws:sns:us-east-1:256387704049:astra-aws-dome9-EventsTopic1           |
